4.009597599506378174e-01,2.051690071821212769e-01,1.651750477103639805e-03,1.528376638889312744e-01,5.645881824563390410e+02,2.894508943427354097e-04,2.441329878624510457e+03,4.103356244655509499e+02,1.924631019187435926e-02,2.727410943372381880e+00,1.690316759049892426e-02,1.909213098729227692e-04
9.466421008110046387e-01,1.080874577164649963e-01,1.446139223118479700e-01,1.046496853232383728e-01,6.433158564238379768e+03,4.116253554821014404e-02,4.983766909955743358e+03,1.359187773533476684e+04,2.042081163705845512e-02,3.093111490671740071e+00,6.936296224594116211e-01,9.605532786885246158e-03
4.965353012084960938e-01,9.787964820861816406e-02,2.483263741634965382e-02,1.217605695128440857e-01,4.064322604410446729e+03,1.171028520911931992e-02,4.293561992147341698e+03,1.076627239782374636e+04,1.575660758100541972e-02,3.175969805199572615e+00,2.591148018836975098e-01,1.152683295540438309e-02
7.648292183876037598e-01,1.389247328042984009e-01,8.512702395255573526e-03,3.714409843087196350e-02,1.011261785578411036e+03,6.776354712201282382e-05,1.894604514756305434e+03,1.623490182976973756e+03,1.858135072776729213e-03,3.119025135364247525e+00,8.374057710170745850e-02,4.157218442932728540e-03
3.839770257472991943e-01,3.753240779042243958e-02,8.230046139567784302e-02,5.085302516818046570e-02,6.052924371781160517e+03,8.969687670469284058e-02,4.416343343734786686e+03,1.255784702704651681e+04,4.035114462813314817e-03,2.990272214363794312e+00,8.472343683242797852e-01,1.156658128799819933e-02
2.127283662557601929e-01,3.726093471050262451e-02,8.023390319282855399e-02,1.170694548636674881e-02,6.075286574501745235e+03,6.716684252023696899e-02,5.684236461072794555e+03,1.476323989537478155e+04,8.684991196820768646e-04,3.021075352229651401e+00,2.498591989278793335e-01,5.291005291005291579e-03
2.283509254455566406e+00,1.480878293514251709e-01,1.412955365230529337e-01,2.536612376570701599e-02,4.667554261867629975e+03,8.859492838382720947e-02,4.898699527877565743e+03,1.192207560630861190e+04,3.399337157840877192e-03,3.207968547768214052e+00,5.392608791589736938e-02,3.128575514874141778e-03
1.671461611986160278e-01,3.478826954960823059e-02,1.909076390605440876e-01,8.216953277587890625e-02,7.945007866048063079e+03,2.429644316434860229e-01,5.424042426984981830e+03,1.550336584142736501e+04,2.382875387716174020e-02,3.288813690566999792e+00,1.082332357764244080e-01,3.400024177949709844e-03
6.379520297050476074e-01,3.858600556850433350e-02,3.223762117562492535e-02,4.863338172435760498e-02,2.308550909417657749e+03,1.563072903081774712e-03,2.942355368363551406e+03,5.774885913388278823e+03,2.602922348571730642e-03,3.149371169383091917e+00,2.417144030332565308e-01,8.994708994708994557e-03
5.096433162689208984e-01,8.371280878782272339e-02,6.395319446412219000e-02,7.766617834568023682e-02,3.255050893607799935e+03,5.180579610168933868e-03,3.956221272961950945e+03,8.454473876953125000e+03,4.097979047600588259e-03,3.165248649983743334e+00,2.643783390522003174e-01,9.239607728337236384e-03
1.804992705583572388e-01,8.299366384744644165e-02,1.126216947298323834e-02,1.084574591368436813e-02,1.782666170202032617e+03,9.340915712527930737e-04,3.722447696867393006e+03,5.415129427737840160e+03,9.343705427409904291e-05,2.803087096686040613e+00,7.842888236045837402e-01,8.896221532091096174e-03
